Sel: Roul-wheel	Xov: Blend-X prob:70	Mut: Uniform prob:4

Run     Rank    SWR     Gain    F/B     F/R     R-a     X-a     Eff.    L6      

1-1     20      2.0423  0       0       0       70.243  -38.19  99.18   2       
1-2     28      1.3176  0       0       0       39.951  7.2051  98.91   2.0437  
1-3     21      1.9179  0       0       0       32.914  20.761  98.77   2.0582  
1-4     27      1.3633  0       0       0       53.817  -15.68  99.07   2.0209  
1-5     24      1.6157  0       0       0       35.87   14.872  98.83   2.0518  
1-6     15      2.4317  0       0       0       79.922  -49.73  99.23   1.9897  
1-7     2       5.5127  0       0       0       182.53  -127.1  99.42   1.9214  
1-8     11      2.9201  0       0       0       92.74   -63.46  99.28   1.9778  
1-9     16      2.3384  0       0       0       77.566  -47.02  99.22   1.9921  
1-10    13      2.587   0       0       0       83.903  -54.17  99.25   1.9858  
1-11    4       5.008   0       0       0       161.4   -116.1  99.4    1.9319  
1-12    18      2.0614  0       0       0       70.71   -38.77  99.19   1.9995  
1-13    26      1.4785  0       0       0       56.643  -19.86  99.1    2.0169  
1-14    8       5.0414  0       0       0       20.533  49.577  98.32   2.0918  
1-15    3       5.432   0       0       0       179.01  -125.4  99.42   1.923   
1-16    7       4.2038  0       0       0       131.75  -96.96  99.36   1.949   
1-17    25      1.528   0       0       0       36.913  12.864  98.85   2.0497  
1-18    19      2.0555  0       0       0       70.565  -38.59  99.19   1.9996  
1-19    30      1.1283  0       0       0       47.059  -5.067  99      2.0312  
1-20    12      2.8536  0       0       0       90.941  -61.63  99.27   1.9794  
1-21    6       4.4474  0       0       0       140.25  -102.9  99.38   1.9438  
1-22    22      1.6405  0       0       0       60.55   -25.41  99.12   2.0117  
1-23    9       3.6124  0       0       0       112.68  -81.95  99.33   1.9619  
1-24    5       4.7773  0       0       0       152.42  -110.8  99.39   1.9368  
1-25    14      2.9106  0       0       0       26.858  33.891  98.6    2.0731  
1-26    17      2.5747  0       0       0       28.501  30.17   98.65   2.0688  
1-27    1       6.2945  0       0       0       219.64  -141.9  99.45   1.9051  
1-28    23      1.5754  0       0       0       58.986  -23.22  99.11   2.0137  
1-29    10      3.135   0       0       0       98.684  -69.31  99.29   1.9727  
1-30    29      1.1761  0       0       0       48.828  -7.937  99.02   2.0284  
---------------------------------------------------------------------
Average :       2.899   0       0       0       85.41   -43.1   99.12   
Optimum :       1.128   0       0       0       48.83   -5.07   99.45   
 
2-1     11      1.9808  0       0       0       68.748  -36.3   99.18   2.0017  
2-2     27      1.187   0       0       0       49.16   -8.467  99.03   2.0279  
2-3     2       6.3742  0       0       0       18.25   55.916  98.17   2.1     
2-4     13      1.9372  0       0       0       67.691  -34.95  99.17   2.0029  
2-5     25      1.2129  0       0       0       49.908  -9.654  99.03   2.0267  
2-6     18      1.4993  0       0       0       57.148  -20.59  99.1    2.0162  
2-7     17      1.6405  0       0       0       60.55   -25.41  99.12   2.0117  
2-8     15      1.8348  0       0       0       65.218  -31.73  99.16   2.0059  
2-9     20      1.4785  0       0       0       56.643  -19.86  99.1    2.0169  
2-10    6       2.8536  0       0       0       90.941  -61.63  99.27   1.9794  
2-11    5       3.135   0       0       0       98.684  -69.31  99.29   1.9727  
2-12    22      1.3068  0       0       0       52.396  -13.52  99.06   2.023   
2-13    9       2.346   0       0       0       77.757  -47.25  99.22   1.9919  
2-14    29      1.1539  0       0       0       48.099  -6.763  99.01   2.0296  
2-15    16      1.6544  0       0       0       60.884  -25.88  99.13   2.0113  
2-16    12      1.966   0       0       0       68.389  -35.85  99.17   2.0021  
2-17    28      1.1761  0       0       0       48.828  -7.937  99.02   2.0284  
2-18    19      1.528   0       0       0       36.913  12.864  98.85   2.0497  
2-19    30      1.1283  0       0       0       47.059  -5.067  99      2.0312  
2-20    1       6.4603  0       0       0       228.24  -144.6  99.45   1.9016  
2-21    24      1.2342  0       0       0       50.497  -10.58  99.04   2.0258  
2-22    14      1.8624  0       0       0       65.883  -32.61  99.16   2.0051  
2-23    7       2.4698  0       0       0       80.891  -50.83  99.23   1.9888  
2-24    26      1.1903  0       0       0       42.448  2.7484  98.94   2.0391  
2-25    23      1.2889  0       0       0       51.938  -12.82  99.05   2.0236  
2-26    10      2.3143  0       0       0       76.96   -46.32  99.22   1.9927  
2-27    8       2.8562  0       0       0       27.104  33.325  98.61   2.0725  
2-28    21      1.4587  0       0       0       56.164  -19.16  99.09   2.0176  
2-29    3       3.4827  0       0       0       108.76  -78.56  99.32   1.9648  
2-30    4       3.261   0       0       0       102.27  -72.69  99.3    1.9698  
---------------------------------------------------------------------
Average :       2.176   0       0       0       67.15   -27.4   99.08   
Optimum :       1.128   0       0       0       49.91   2.748   99.45   
 
3-1     13      1.2342  0       0       0       50.497  -10.58  99.04   2.0258  
3-2     14      1.2342  0       0       0       50.497  -10.58  99.04   2.0258  
3-3     25      1.1391  0       0       0       47.545  -5.862  99.01   2.0304  
3-4     22      1.1606  0       0       0       48.331  -7.137  99.02   2.0292  
3-5     3       2.9683  0       0       0       94.054  -64.78  99.28   1.9766  
3-6     4       2.4665  0       0       0       80.806  -50.73  99.23   1.9888  
3-7     8       1.936   0       0       0       67.661  -34.91  99.17   2.003   
3-8     29      1.1235  0       0       0       46.801  -4.643  99      2.0317  
3-9     16      1.187   0       0       0       49.16   -8.467  99.03   2.0279  
3-10    20      1.1761  0       0       0       48.828  -7.937  99.02   2.0284  
3-11    7       1.9464  0       0       0       67.913  -35.24  99.17   2.0027  
3-12    6       1.9568  0       0       0       68.165  -35.56  99.17   2.0024  
3-13    11      1.4603  0       0       0       56.2    -19.21  99.09   2.0175  
3-14    15      1.1889  0       0       0       49.218  -8.559  99.03   2.0278  
3-15    18      1.1791  0       0       0       42.723  2.2677  98.95   2.0386  
3-16    19      1.1767  0       0       0       48.848  -7.967  99.02   2.0284  
3-17    23      1.1642  0       0       0       43.116  1.5838  98.95   2.0379  
3-18    2       3.0839  0       0       0       97.251  -67.93  99.29   1.9739  
3-19    27      1.1283  0       0       0       47.059  -5.067  99      2.0312  
3-20    24      1.1486  0       0       0       47.911  -6.457  99.01   2.0299  
3-21    26      1.1293  0       0       0       47.108  -5.147  99      2.0312  
3-22    5       2.0236  0       0       0       69.787  -37.62  99.18   2.0005  
3-23    17      1.187   0       0       0       49.16   -8.467  99.03   2.0279  
3-24    28      1.1283  0       0       0       47.059  -5.067  99      2.0312  
3-25    10      1.5413  0       0       0       58.164  -22.05  99.11   2.0148  
3-26    30      1.1305  0       0       0       44.238  -0.346  98.97   2.036   
3-27    12      1.2915  0       0       0       52.006  -12.93  99.05   2.0235  
3-28    9       1.7867  0       0       0       64.06   -30.2   99.15   2.0073  
3-29    1       3.1936  0       0       0       100.34  -70.89  99.3    1.9714  
3-30    21      1.1693  0       0       0       48.614  -7.592  99.02   2.0287  
---------------------------------------------------------------------
Average :       1.555   0       0       0       57.77   -19.6   99.08   
Optimum :       1.124   0       0       0       50.5    -0.35   99.3    
 
4-1     23      1.1264  0       0       0       46.963  -4.909  99      2.0314  
4-2     28      1.1275  0       0       0       44.374  -0.579  98.97   2.0357  
4-3     26      1.1194  0       0       0       46.531  -4.197  99      2.0321  
4-4     30      1.1157  0       0       0       45.156  -1.903  98.98   2.0344  
4-5     18      1.1562  0       0       0       48.179  -6.891  99.02   2.0294  
4-6     13      1.1836  0       0       0       49.058  -8.304  99.02   2.028   
4-7     9       1.2084  0       0       0       49.783  -9.457  99.03   2.0269  
4-8     7       1.2342  0       0       0       50.495  -10.58  99.04   2.0258  
4-9     17      1.1582  0       0       0       48.249  -7.005  99.02   2.0293  
4-10    6       1.2372  0       0       0       41.427  4.5499  98.93   2.041   
4-11    1       1.9464  0       0       0       67.913  -35.24  99.17   2.0027  
4-12    14      1.1761  0       0       0       48.828  -7.937  99.02   2.0284  
4-13    16      1.1642  0       0       0       43.116  1.5838  98.95   2.0379  
4-14    20      1.1486  0       0       0       47.911  -6.457  99.01   2.0299  
4-15    8       1.2088  0       0       0       49.795  -9.475  99.03   2.0269  
4-16    24      1.1259  0       0       0       46.936  -4.865  99      2.0314  
4-17    10      1.188   0       0       0       49.189  -8.514  99.03   2.0278  
4-18    11      1.1879  0       0       0       49.188  -8.512  99.03   2.0278  
4-19    2       1.7872  0       0       0       64.074  -30.21  99.15   2.0073  
